,source,date,count_users,cost,profit_0_day,profit_1_day,profit_2_day,profit_3_day,visit_0_day,visit_1_day,visit_2_day,visit_3_day,sent_sex_request_btn_0_day,sent_sex_request_btn_1_day,sent_sex_request_btn_2_day,sent_sex_request_btn_3_day,accept_sex_request_btn_0_day,accept_sex_request_btn_1_day,accept_sex_request_btn_2_day,accept_sex_request_btn_3_day,livecamps_bnr_0_day,livecamps_bnr_1_day,livecamps_bnr_2_day,livecamps_bnr_3_day,chatlist_bnr_0_day,chatlist_bnr_1_day,chatlist_bnr_2_day,chatlist_bnr_3_day,chat_invite_0_day,chat_invite_1_day,chat_invite_2_day,chat_invite_3_day
32,13125.0,2019-11-11,875,138.0,208.05,9.25,12.3,2.0,13447,1880.0,1926.0,2322.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0
33,13125.0,2019-11-12,1427,204.0,202.1,11.9,5.0,4.0,18100,6244.0,5623.0,5709.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
34,13125.0,2019-11-13,1991,258.0,265.55,13.5,23.0,13.25,24439,5309.0,4277.0,2801.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0
35,13125.0,2019-11-14,1433,228.0,236.1,22.3,2.0,4.25,21798,4690.0,2948.0,1474.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
36,13125.0,2019-11-15,1011,141.0,237.65,7.95,0.0,0.0,15103,2747.0,2642.0,2159.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
37,13125.0,2019-11-16,1867,306.0,398.4,26.5,9.25,5.0,47563,11986.0,13714.0,11068.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0
38,13125.0,2019-11-17,1353,210.0,300.1,10.75,23.45,3.9,26235,5665.0,3362.0,1973.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0
39,13125.0,2019-11-18,1610,246.0,296.7,14.25,9.25,2.0,28655,4800.0,2311.0,1577.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0
40,13125.0,2019-11-19,1344,210.0,248.95,6.0,2.0,0.0,18392,4064.0,2324.0,2248.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
41,13125.0,2019-11-20,1116,201.5,203.7,9.25,5.0,0.0,18478,4064.0,2377.0,1245.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
